NO,NISN,NAMA,JURUSAN,STATUS
1,2231656,AHMAD FAUZI,Teknik Komputer dan Jaringan,LULUS
2,12345602,SITI AMINAH,Akuntansi,LULUS
3,12345603,BUDI SANTOSO,Teknik Komputer dan Jaringan,LULUS
4,12345604,DEWI RAHAYU,Administrasi Perkantoran,LULUS
5,12345605,MUHAMMAD RIZKI,Teknik Komputer dan Jaringan,LULUS
6,12345606,NURUL HIDAYAH,Akuntansi,LULUS
7,12345607,ANDI PRASETYO,Teknik Otomotif,LULUS
8,12345608,FITRI WULANDARI,Administrasi Perkantoran,LULUS
9,12345609,REZA FIRMANSYAH,Teknik Otomotif,LULUS
10,12345610,LINDA SARI,Akuntansi,LULUS
11,12345611,HENDRA GUNAWAN,Teknik Komputer dan Jaringan,LULUS
12,12345612,MAYA ANGGRAINI,Administrasi Perkantoran,LULUS
13,12345613,DIAN PERMATA,Akuntansi,LULUS
14,12345614,FAJAR NUGROHO,Teknik Otomotif,LULUS
15,12345615,RIZKA AMELIA,Teknik Komputer dan Jaringan,LULUS
16,12345616,ARIF HIDAYAT,Teknik Otomotif,LULUS
17,12345617,YUNI ASTUTI,Administrasi Perkantoran,LULUS
18,12345618,GILANG RAMADHAN,Teknik Komputer dan Jaringan,LULUS
19,12345619,PUTRI RAHAYU,Akuntansi,LULUS
20,12345620,BAGAS SETIAWAN,Teknik Otomotif,LULUS
